Tavg,RH_avg,RR
27.3,78.0,0.0
26.8,84.0,31.5
26.6,79.0,0.0
26.6,76.0,0.0
27.5,75.0,0.0
27.4,74.0,0.0
27.4,78.0,0.0
27.4,75.0,4.5
26.2,88.0,6.8
25.8,88.0,15.2
25.9,89.0,13.5
25.7,87.0,19.7
25.1,88.0,52.8
26.5,78.0,2.4
27.1,80.0,0.0
28.2,76.0,0.0
26.2,83.0,0.0
26.4,80.0,9.7
25.7,87.0,2.8
24.9,89.0,11.0
26.0,86.0,19.4
26.6,80.0,0.6
26.1,87.0,5.4
27.5,79.0,0.9
27.6,75.0,0.0
26.3,86.0,1.5
26.8,86.0,39.6
26.7,84.0,6.0
27.0,80.0,0.2
27.5,81.0,0.5
27.0,80.0,10.5
27.5,78.0,0.0
26.0,87.0,0.0
26.6,81.0,3.0
27.2,83.0,59.1
24.8,92.0,33.0
26.2,83.0,2.9
26.2,84.0,26.7
27.0,80.0,0.4
26.9,84.0,0.0
27.2,79.0,0.0
25.7,88.0,65.8
26.7,81.0,10.5
25.0,91.0,8888.0
25.9,88.0,97.6
24.7,91.0,41.4
26.2,85.0,6.9
26.2,86.0,26.8
25.6,87.0,8888.0
27.0,84.0,0.0
26.8,80.0,0.0
26.5,82.0,0.0
26.6,79.0,8888.0
27.7,70.0,0.0
26.4,77.0,0.0
26.2,80.0,1.8
26.6,78.0,19.7
26.7,82.0,0.8
26.8,78.0,0.7
25.7,86.0,1.0
25.9,84.0,59.8
26.5,83.0,3.6
25.9,87.0,0.0
26.1,84.0,0.4
26.1,86.0,2.0
26.5,84.0,1.2
26.4,88.0,4.2
25.8,90.0,0.0
25.5,87.0,14.0
25.8,88.0,8.6
26.5,86.0,10.8
26.6,86.0,2.4
25.1,92.0,6.6
25.4,88.0,5.5
26.8,86.0,43.8
26.7,89.0,0.0
26.9,85.0,7.8
27.0,79.0,9.8
26.3,88.0,2.0
26.7,82.0,0.0
25.6,88.0,4.5
26.7,87.0,12.1
26.8,80.0,1.2
26.3,84.0,0.0
25.5,86.0,52.6
25.9,83.0,0.0
26.5,80.0,45.4
25.6,85.0,10.5
25.3,84.0,46.3
25.1,90.0,43.0
26.5,87.0,3.7
26.7,84.0,15.0
26.0,83.0,0.8
26.2,84.0,3.1
25.8,86.0,0.0
26.4,84.0,22.3
26.7,79.0,0.8
26.5,82.0,2.3
27.2,76.0,1.3
27.1,81.0,2.0
26.7,83.0,0.0
27.4,80.0,6.2
26.8,85.0,6.0
25.8,90.0,11.3
25.7,87.0,5.3
27.3,80.0,1.8
26.3,80.0,0.0
25.6,91.0,17.4
26.7,84.0,14.2
26.4,91.0,0.0
27.0,85.0,3.3
27.4,82.0,8888.0
27.4,80.0,0.0
26.9,86.0,0.0
27.0,82.0,0.0
29.1,74.0,0.0
27.5,84.0,2.5
27.2,86.0,6.5
26.7,86.0,0.0
26.6,89.0,69.0
26.9,86.0,12.0
27.2,86.0,2.5
27.4,85.0,24.5
28.0,81.0,0.0
27.5,85.0,0.7
29.0,73.0,0.0
27.6,85.0,1.3
27.7,86.0,2.4
27.5,82.0,0.3
27.1,81.0,0.0
27.0,82.0,0.0
26.9,86.0,3.9
26.1,88.0,21.3
26.5,87.0,7.2
26.8,81.0,8888.0
27.4,80.0,0.0
26.1,88.0,13.8
24.0,96.0,21.8
27.6,75.0,35.5
27.2,79.0,0.0
26.9,79.0,0.0
27.0,78.0,8888.0
26.2,84.0,2.4
25.9,88.0,47.3
26.3,85.0,0.0
25.9,84.0,0.0
26.1,88.0,5.0
25.5,86.0,1.0
26.3,84.0,8.2
25.7,89.0,58.5
26.2,85.0,0.0
26.6,83.0,0.0
26.4,85.0,36.3
25.4,88.0,69.5
27.0,82.0,0.8
25.8,86.0,0.0
25.1,89.0,11.5
25.4,88.0,13.8
25.8,86.0,6.0
26.3,84.0,0.4
26.6,79.0,0.0
26.9,76.0,0.0
26.1,80.0,0.0
26.1,82.0,0.0
26.2,80.0,0.0
25.6,86.0,0.0
25.5,84.0,5.8
25.5,77.0,0.0
24.6,76.0,0.0
25.2,76.0,0.0
25.6,76.0,0.0
26.9,86.0,7.7
27.0,85.0,0.7
26.0,84.0,0.0
25.8,78.0,2.2
25.1,84.0,0.0
24.1,81.0,0.0
25.0,77.0,0.0
24.8,87.0,0.0
26.3,86.0,0.0
26.3,85.0,8.5
26.5,84.0,0.0
24.9,88.0,0.4
25.5,84.0,0.0
26.0,80.0,0.0
26.0,78.0,0.0
25.1,81.0,0.0
25.3,80.0,0.0
25.8,81.0,0.0
25.3,82.0,0.0
25.5,77.0,0.0
24.3,70.0,0.0
24.1,74.0,0.0
25.4,79.0,0.0
25.5,84.0,0.0
25.4,80.0,0.0
24.5,81.0,0.0
25.6,80.0,0.0
25.9,79.0,8888.0
24.8,78.0,0.0
25.1,85.0,0.0
25.8,80.0,3.1
25.7,79.0,0.2
26.1,79.0,0.0
25.4,89.0,0.0
26.5,84.0,2.9
25.7,84.0,5.4
25.8,87.0,4.2
26.7,81.0,7.0
26.8,84.0,7.0
26.3,79.0,5.9
25.7,81.0,0.0
25.4,81.0,8888.0
25.8,79.0,0.0
25.4,77.0,0.0
25.4,78.0,0.0
26.2,74.0,0.0
25.6,77.0,0.0
24.9,80.0,0.6
24.1,82.0,0.0
25.0,84.0,8888.0
26.4,82.0,10.2
26.6,82.0,0.0
25.7,85.0,0.8
25.2,81.0,0.0
26.4,81.0,0.0
26.6,81.0,0.0
26.4,85.0,0.0
25.7,88.0,28.3
25.1,90.0,17.6
25.5,86.0,6.9
25.6,88.0,29.3
26.9,81.0,0.0
26.5,78.0,0.0
26.3,80.0,0.0
26.8,80.0,0.4
26.4,80.0,0.0
